"NOMBRE","NIVEL_ACADEMICO","PROGRAMAS"
"UNIVERSIDAD PERUANA UNION","DOCTORADO",6
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","SEGUNDA ESPECIALIDAD",47
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","CARRERA PROFESIONAL",33
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","MAESTRIA",14
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","DOCTORADO",6
"UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT","CARRERA PROFESIONAL",5
"UNIVERSIDAD PRIVADA DE TACNA","SEGUNDA ESPECIALIDAD",34
"UNIVERSIDAD PRIVADA DE TACNA","CARRERA PROFESIONAL",29
"UNIVERSIDAD PRIVADA DE TACNA","MAESTRIA",19
"UNIVERSIDAD PRIVADA DE TACNA","DOCTORADO",6
"UNIVERSIDAD PRIVADA DEL NORTE","CARRERA PROFESIONAL",212
"UNIVERSIDAD PRIVADA DEL NORTE","MAESTRIA",24
"UNIVERSIDAD PRIVADA DEL NORTE","DOCTORADO",3
"UNIVERSIDAD PRIVADA NORBERT WIENER","CARRERA PROFESIONAL",45
"UNIVERSIDAD PRIVADA NORBERT WIENER","SEGUNDA ESPECIALIDAD",39
"UNIVERSIDAD PRIVADA NORBERT WIENER","MAESTRIA",13
"UNIVERSIDAD PRIVADA PERUANO ALEMANA","CARRERA PROFESIONAL",2
"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","CARRERA PROFESIONAL",53
"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","SEGUNDA ESPECIALIDAD",22
"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","MAESTRIA",6
"UNIVERSIDAD RICARDO PALMA","SEGUNDA ESPECIALIDAD",58
"UNIVERSIDAD RICARDO PALMA","CARRERA PROFESIONAL",19
"UNIVERSIDAD RICARDO PALMA","MAESTRIA",18
"UNIVERSIDAD RICARDO PALMA","DOCTORADO",3
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","CARRERA PROFESIONAL",79
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","MAESTRIA",28
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","DOCTORADO",4
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","SEGUNDA ESPECIALIDAD",1
"UNIVERSIDAD SENOR DE SIPAN","CARRERA PROFESIONAL",18
"UNIVERSIDAD SENOR DE SIPAN","MAESTRIA",16
"UNIVERSIDAD TECNOLOGICA DEL PERU","CARRERA PROFESIONAL",435
"UNIVERSIDAD TECNOLOGICA DEL PERU","MAESTRIA",14
